#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-10T05:59:27 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-10T05:59:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/ApJ/705/1099/lenses&-source=J/ApJ/705/1099/lenses&-out=SDSS&-out=zlens&-out=zsrc&-out=sigma&-out=e_sigma&-out=MType&-out=f_MType&-out=Bmag&-out=Re(B)&-out=Vmag&-out=f_Vmag&-out=Re(V)&-out=Imag&-out=Re(I)&-out=Hmag&-out=RE&-out=Mass&-out=Fc&-out=e_Fc&-out=Fs&-out=e_Fs&-out=F&-out=logMc&-out=e_logMc&-out=logMs&-out=e_logMs&-out=BMag&-out=e_BMag&-out=VMag&-out=e_VMag&-out=BMag0&-out=e_BMag0&-out=VMag0&-out=e_VMag0&-out=SLACS&-out=Sloan&-out=Simbad&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17051099
#Name: J/ApJ/705/1099
#Title: The Sloan Lens ACS (SLACS) Survey. IX. (Auger+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/705/1099	    IVOID of underlying data collection
#INFO	creator=Auger M.W.	    First author or institution
#INFO	cites=bibcode:2009ApJ...705.1099A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/705/1099	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17051099	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_705_1099_lenses:
#Name: J/ApJ/705/1099/lenses
#Title: Photometric and spectroscopic properties   and lensing and stellar population properties   of SLACS lenses
#Column	SDSS	(A10)	SLACS SDSS name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	zlens	(F6.3)	Lens redshift	[ucd=src.redshift]
#Column	zsrc	(F6.3)	Source redshift	[ucd=src.redshift]
#Column	sigma	(I3)	Lensing galaxy velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	rms uncertainty on sigma	[ucd=stat.error]
#Column	MType	(a5)	Morphological type	[ucd=src.morph.type]
#Column	f_MType	(A1)	[c] c: the lens galaxy has at least one close companion galaxy	[ucd=meta.code]
#Column	Bmag	(F5.2)	? HST/ACS B-band magnitude (F435W)	[ucd=phot.mag;em.opt.B]
#Column	Re(B)	(F5.2)	? Effective radius (measured at the intermediate axis) in B-band	[ucd=phys.angSize;em.opt.B]
#Column	Vmag	(F5.2)	? HST V-band magnitude (F555W or F606W)	[ucd=phot.mag;em.opt.V]
#Column	f_Vmag	(A1)	[ab]? a: F606W filter on WFPC2 or b: F555W filter on ACS	[ucd=meta.code]
#Column	Re(V)	(F5.2)	? Effective radius (measured at the intermediate axis) in V-band	[ucd=phys.angSize;em.opt.V]
#Column	Imag	(F5.2)	? HST/ACS I-band magnitude (F814W)	[ucd=phot.mag;em.opt.I]
#Column	Re(I)	(F5.2)	? Effective radius (measured at the intermediate axis) in I-band	[ucd=phys.angSize;em.opt.I]
#Column	Hmag	(F5.2)	? HST/NICMOS H-band magnitude (F160W)	[ucd=phot.mag;em.UV.100-200nm]
#Column	RE	(F5.2)	? Einstein radius	[ucd=phys.size.radius]
#Column	Mass	(F5.2)	? Log of mass within the Einstein radius	[ucd=phys.mass]
#Column	Fc	(F5.2)	? The stellar fraction within the Einstein radius for Chabrier IMF (f^Chab^_*,Ein_)	[ucd=phys.mass;arith.ratio]
#Column	e_Fc	(F5.2)	? Fc uncertainty	[ucd=stat.error]
#Column	Fs	(F5.2)	? The stellar fraction within the Einstein radius for Salpeter IMF (f^Salp_*,Ein_)	[ucd=phys.mass;arith.ratio]
#Column	e_Fs	(F5.2)	? Fs uncertainty	[ucd=stat.error]
#Column	F	(F5.2)	? Ratio of the stellar fraction within the Einstein radius to the stellar fraction within the effective radius (f_*,Ein_/f_*,eff_)	[ucd=stat.fit.omc]
#Column	logMc	(F5.2)	? Stellar mass estimate from Chabrier IMF	[ucd=phys.mass]
#Column	e_logMc	(F5.2)	? Mc uncertainty	[ucd=stat.error]
#Column	logMs	(F5.2)	? Stellar mass estimate from Salpeter IMF	[ucd=phys.mass]
#Column	e_logMs	(F5.2)	? Ms uncertainty	[ucd=stat.error]
#Column	BMag	(F6.2)	? Absolute rest-frame Johnson B-band AB magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	e_BMag	(F5.2)	? BMag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	VMag	(F6.2)	? Absolute rest-frame Johnson V-band AB magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F5.2)	? VMag uncertainty	[ucd=stat.error;phot.mag;em.opt.V]
#Column	BMag0	(F6.2)	? BMag with composite stellar population (CSP) model at z=0 (1)	[ucd=phot.mag;meta.modelled]
#Column	e_BMag0	(F5.2)	? BMag0 uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	VMag0	(F6.2)	? VMag with composite stellar population (CSP) model at z=0 (1)	[ucd=phot.mag;meta.modelled]
#Column	e_VMag0	(F5.2)	? VMag0 uncertainty	[ucd=stat.error;phot.mag;em.opt.V]
#Column	SLACS	(a5)	Display the SLACS survey data from Paper V. (Cat. J/ApJ/682/964)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS	zlens	zsrc	sigma	e_sigma	MType	f_MType	Bmag	Re(B)	Vmag	f_Vmag	Re(V)	Imag	Re(I)	Hmag	RE	Mass	Fc	e_Fc	Fs	e_Fs	F	logMc	e_logMc	logMs	e_logMs	BMag	e_BMag	VMag	e_VMag	BMag0	e_BMag0	VMag0	e_VMag0	SLACS	Sloan	Simbad	RAJ2000	DEJ2000
 	 	 	km/s	km/s	 	 	mag	arcsec	mag	 	arcsec	mag	arcsec	mag	kpc	[Msun]	 	 	 	 	 	[Msun]	[Msun]	[Msun]	[Msun]	mag	mag	mag	mag	mag	mag	mag	mag	 	 	 	"h:m:s"	"d:m:s"
----------	------	------	---	--	-----	-	-----	-----	-----	-	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	------	-----	------	-----	------	-----	------	-----	-----	-----	------	-----------	-----------
J0008-0004	 0.440	 1.192	193	36	E    	 	     	     	19.60	a	 1.82	18.52	 1.71	     	 6.59	11.55	 0.27	 0.09	 0.50	 0.16	 0.79	11.38	 0.14	11.64	 0.14	-22.25	 0.08	-22.94	 0.08	-21.55	 0.19	-22.33	 0.18	SLACS	Sloan	Simbad	00 08 02.96	-00 04 08.2
J0029-0055	 0.227	 0.931	229	18	E    	 	     	     	17.74	a	 2.58	17.05	 2.16	     	 3.48	11.08	 0.50	 0.14	 0.89	 0.26	 0.56	11.33	 0.13	11.58	 0.13	-21.93	 0.12	-22.63	 0.07	-21.52	 0.12	-22.27	 0.12	SLACS	Sloan	Simbad	00 29 07.78	-00 55 50.5
J0037-0942	 0.195	 0.632	279	10	E    	 	18.57	 2.87	16.90	a	 2.68	16.20	 1.80	15.49	 4.95	11.47	 0.40	 0.06	 0.71	 0.10	 0.78	11.48	 0.06	11.73	 0.06	-22.37	 0.06	-23.06	 0.06	-22.02	 0.10	-22.76	 0.10	SLACS	Sloan	Simbad	00 37 53.21	-09 42 20.1
J0044+0113	 0.120	 0.197	266	13	E    	 	     	     	16.32	a	 3.25	15.69	 1.92	15.03	 1.72	10.96	 0.37	 0.08	 0.64	 0.13	 0.40	11.23	 0.09	11.47	 0.09	-21.67	 0.15	-22.35	 0.08	-21.42	 0.12	-22.14	 0.08	SLACS	Sloan	Simbad	00 44 02.90	+01 13 12.6
J0109+1500	 0.294	 0.525	251	19	E    	 	     	     	     	 	     	17.63	 1.38	     	 3.05	11.12	     	     	     	     	     	     	     	     	     	      	     	      	     	      	     	      	     	SLACS	Sloan	Simbad	01 09 33.73	+15 00 32.5
J0157-0056	 0.513	 0.924	295	47	E    	 	     	     	19.87	a	 1.21	18.59	 1.84	17.52	 4.89	11.41	 0.51	 0.12	 0.90	 0.20	 0.84	11.50	 0.10	11.74	 0.10	-22.61	 0.07	-23.30	 0.06	-21.81	 0.22	-22.59	 0.20	SLACS	Sloan	Simbad	01 57 58.94	-00 56 26.1
J0216-0813	 0.332	 0.523	333	23	E    	 	19.91	 2.49	18.36	b	 2.97	16.86	 2.40	15.99	 5.53	11.69	 0.36	 0.06	 0.61	 0.10	 0.56	11.79	 0.07	12.03	 0.07	-23.01	 0.05	-23.75	 0.05	-22.53	 0.10	-23.32	 0.10	SLACS	Sloan	Simbad	02 16 52.54	-08 13 45.3
J0252+0039	 0.280	 0.982	164	12	E    	 	     	     	18.77	a	 1.36	17.87	 1.39	     	 4.40	11.25	 0.40	 0.12	 0.71	 0.21	 0.86	11.21	 0.13	11.46	 0.13	-21.57	 0.10	-22.29	 0.07	-21.12	 0.13	-21.90	 0.13	SLACS	Sloan	Simbad	02 52 45.21	+00 39 58.4
J0330-0020	 0.351	 1.071	212	21	E    	 	     	     	18.84	a	 1.52	17.99	 0.91	17.08	 5.45	11.40	 0.41	 0.08	 0.69	 0.15	 0.93	11.35	 0.09	11.58	 0.09	-22.19	 0.09	-22.85	 0.06	-21.60	 0.16	-22.35	 0.16	SLACS	Sloan	Simbad	03 30 12.14	-00 20 51.9
J0405-0455	 0.075	 0.810	160	 7	E    	 	     	     	     	 	     	16.22	 1.36	     	 1.14	10.41	     	     	     	     	     	     	     	     	     	      	     	      	     	      	     	      	     	SLACS	Sloan	Simbad	04 05 35.41	-04 55 52.4
J0728+3835	 0.206	 0.688	214	11	E    	 	     	     	17.38	a	 2.01	16.62	 1.78	     	 4.21	11.30	 0.56	 0.16	 1.00	 0.29	 0.82	11.44	 0.12	11.69	 0.12	-22.02	 0.11	-22.76	 0.07	-21.67	 0.11	-22.45	 0.10	SLACS	Sloan	Simbad	07 28 04.95	+38 35 25.7
J0737+3216	 0.322	 0.581	338	16	E    	 	20.17	 2.22	18.34	b	 3.38	16.95	 1.80	16.17	 4.66	11.46	 0.41	 0.07	 0.73	 0.12	 0.46	11.72	 0.07	11.96	 0.07	-22.78	 0.05	-23.53	 0.05	-22.32	 0.09	-23.11	 0.09	SLACS	Sloan	Simbad	07 37 28.45	+32 16 18.6
J0808+4706	 0.219	 1.025	236	11	E    	 	     	     	17.11	a	 4.53	16.74	 2.42	     	     	     	     	     	     	     	     	11.26	 0.16	11.51	 0.15	-22.49	 0.15	-23.00	 0.07	-21.94	 0.14	-22.55	 0.12	SLACS	Sloan	Simbad	08 08 58.78	+47 06 38.9
J0819+4534	 0.194	 0.446	225	15	E    	 	19.16	 2.91	17.61	a	 2.80	16.99	 1.98	     	 2.73	11.04	 0.32	 0.06	 0.57	 0.11	 0.49	11.15	 0.08	11.40	 0.08	-21.67	 0.06	-22.32	 0.07	-21.26	 0.12	-21.98	 0.12	SLACS	Sloan	Simbad	08 19 31.93	+45 34 44.8
J0822+2652	 0.241	 0.594	259	15	E    	 	     	     	17.65	a	 2.43	16.94	 1.82	     	 4.45	11.38	 0.41	 0.12	 0.73	 0.22	 0.71	11.43	 0.13	11.69	 0.13	-22.19	 0.11	-22.89	 0.07	-21.75	 0.12	-22.51	 0.13	SLACS	Sloan	Simbad	08 22 42.32	+26 52 43.5
J0841+3824	 0.116	 0.657	225	 8	S    	 	     	     	15.66	a	 8.67	15.27	 4.21	     	 2.96	11.12	 0.31	 0.10	 0.54	 0.18	 0.32	11.41	 0.15	11.65	 0.14	-22.17	 0.18	-22.83	 0.08	-21.92	 0.14	-22.62	 0.09	SLACS	Sloan	Simbad	08 41 28.81	+38 24 13.7
J0903+4116	 0.430	 1.065	223	27	E    	 	     	     	18.90	a	 2.19	17.91	 1.78	     	 7.23	11.66	 0.35	 0.11	 0.62	 0.20	 0.81	11.59	 0.14	11.84	 0.14	-22.83	 0.08	-23.51	 0.08	-22.10	 0.21	-22.88	 0.21	SLACS	Sloan	Simbad	09 03 15.19	+41 16 09.1
J0912+0029	 0.164	 0.324	326	12	E/S0 	 	17.91	 4.51	16.56	b	 4.29	15.52	 4.01	14.52	 4.58	11.60	 0.34	 0.05	 0.60	 0.09	 0.53	11.71	 0.07	11.96	 0.07	-22.56	 0.06	-23.33	 0.06	-22.28	 0.09	-23.09	 0.09	SLACS	Sloan	Simbad	09 12 05.31	+00 29 01.2
